Player,Team,Affiliation,Year,RoundNumber,RoundPick,OverallPick,Season
Cade Cunningham,Detroit Pistons,Oklahoma State,2021,1,1,1,2021
Jalen Green,Houston Rockets,Ignite (G League),2021,1,2,2,2021
Evan Mobley,Cleveland Cavaliers,Southern California,2021,1,3,3,2021
Scottie Barnes,Toronto Raptors,Florida State,2021,1,4,4,2021
Jalen Suggs,Orlando Magic,Gonzaga,2021,1,5,5,2021
Josh Giddey,Oklahoma City Thunder,NBA Global Academy (Australia),2021,1,6,6,2021
Jonathan Kuminga,Golden State Warriors,Ignite (G League),2021,1,7,7,2021
Franz Wagner,Orlando Magic,Michigan,2021,1,8,8,2021
Davion Mitchell,Sacramento Kings,Baylor,2021,1,9,9,2021
Ziaire Williams,New Orleans Pelicans,Stanford,2021,1,10,10,2021
James Bouknight,Charlotte Hornets,Connecticut,2021,1,11,11,2021
Joshua Primo,San Antonio Spurs,Alabama,2021,1,12,12,2021
Chris Duarte,Indiana Pacers,Oregon,2021,1,13,13,2021
Moses Moody,Golden State Warriors,Arkansas,2021,1,14,14,2021
Corey Kispert,Washington Wizards,Gonzaga,2021,1,15,15,2021
Alperen Sengun,Oklahoma City Thunder,Besiktas (Turkey),2021,1,16,16,2021
Trey Murphy III,Memphis Grizzlies,Virginia,2021,1,17,17,2021
Tre Mann,Oklahoma City Thunder,Florida,2021,1,18,18,2021
Kai Jones,New York Knicks,Texas,2021,1,19,19,2021
Jalen Johnson,Atlanta Hawks,Duke,2021,1,20,20,2021
Keon Johnson,New York Knicks,Tennessee,2021,1,21,21,2021
Isaiah Jackson,Los Angeles Lakers,Kentucky,2021,1,22,22,2021
Usman Garuba,Houston Rockets,Madrid (ESP),2021,1,23,23,2021
Josh Christopher,Houston Rockets,Arizona State,2021,1,24,24,2021
Quentin Grimes,LA Clippers,Houston,2021,1,25,25,2021
Bones Hyland,Denver Nuggets,Virginia Commonwealth,2021,1,26,26,2021
Cam Thomas,Brooklyn Nets,Louisiana State,2021,1,27,27,2021
Jaden Springer,Philadelphia 76ers,Tennessee,2021,1,28,28,2021
Day'Ron Sharpe,Phoenix Suns,North Carolina,2021,1,29,29,2021
Santi Aldama,Utah Jazz,Loyola-Maryland,2021,1,30,30,2021
Isaiah Todd,Milwaukee Bucks,Ignite (G League),2021,2,1,31,2021
Jeremiah Robinson-Earl,New York Knicks,Villanova,2021,2,2,32,2021
Jason Preston,Orlando Magic,Ohio,2021,2,3,33,2021
Rokas Jokubaitis,Oklahoma City Thunder,BC Zalgiris (Lithuania),2021,2,4,34,2021
Herbert Jones,New Orleans Pelicans,Alabama,2021,2,5,35,2021
Miles McBride,Oklahoma City Thunder,West Virginia,2021,2,6,36,2021
JT Thor,Detroit Pistons,Auburn,2021,2,7,37,2021
Ayo Dosunmu,Chicago Bulls,Illinois,2021,2,8,38,2021
Neemias Queta,Sacramento Kings,Utah State,2021,2,9,39,2021
Jared Butler,Sacramento Kings,Baylor,2021,2,10,40,2021
Joe Wieskamp,San Antonio Spurs,Iowa,2021,2,11,41,2021
Isaiah Livers,Detroit Pistons,Michigan,2021,2,12,42,2021
Greg Brown III,New Orleans Pelicans,Texas,2021,2,13,43,2021
Kessler Edwards,Brooklyn Nets,Pepperdine,2021,2,14,44,2021
Juhann Begarin,Boston Celtics,Paris (France),2021,2,15,45,2021
Dalano Banton,Toronto Raptors,Nebraska,2021,2,16,46,2021
David Johnson,Toronto Raptors,Louisville,2021,2,17,47,2021
Sharife Cooper,Atlanta Hawks,Auburn,2021,2,18,48,2021
Marcus Zegarowski,Brooklyn Nets,Creighton,2021,2,19,49,2021
Filip Petrusev,Philadelphia 76ers,KK Mega Leks (Serbia),2021,2,20,50,2021
Paolo Banchero,Orlando Magic,Duke,2022,1,1,1,2022
Chet Holmgren,Oklahoma City Thunder,Gonzaga,2022,1,2,2,2022
Jabari Smith Jr.,Houston Rockets,Auburn,2022,1,3,3,2022
Keegan Murray,Sacramento Kings,Iowa,2022,1,4,4,2022
Jaden Ivey,Detroit Pistons,Purdue,2022,1,5,5,2022
