#,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Cleveland Cavaliers,18,3,0.857,-,11-1,7-2,5-1,14-3,122,112.5,9.5,W1,7-3
2,Boston Celtics,17,4,0.81,1,8-2,9-2,4-1,15-3,120,109.8,10.2,W1,8-2
3,Oklahoma City Thunder,15,5,0.75,2.5,8-2,7-3,3-1,12-5,114,104,10,L1,7-3
4,Houston Rockets,15,6,0.714,3,9-3,6-3,4-1,9-4,114.6,106.3,8.3,W3,8-2
5,Orlando Magic,15,7,0.682,3.5,9-1,6-7,4-1,12-3,108,102.3,5.7,W6,9-1
6,Memphis Grizzlies,14,7,0.667,4,10-3,4-4,1-1,6-4,121.7,112.9,8.8,W6,7-3
7,Golden State Warriors,12,7,0.632,5,5-3,7-4,0-3,9-5,116.2,109.8,6.4,L4,5-5
8,Dallas Mavericks,13,8,0.619,5,7-3,6-5,3-1,9-6,117.9,111.4,6.5,W4,8-2
9,New York Knicks,12,8,0.6,5.5,6-2,6-6,3-1,9-5,117.8,111.5,6.4,W2,7-3
10,LA Clippers,13,9,0.591,5.5,8-4,5-5,4-2,8-8,109.3,107,2.3,W1,7-3
11,Phoenix Suns,11,8,0.579,6,7-4,4-4,5-3,9-5,113.2,113.9,-0.7,W1,3-7
12,Los Angeles Lakers,12,9,0.571,6,7-3,5-6,2-2,9-6,112.3,114.9,-2.6,L1,5-5
13,Denver Nuggets,10,8,0.556,6.5,5-4,5-4,3-2,6-7,118,116.4,1.6,L1,5-5
14,San Antonio Spurs,11,9,0.55,6.5,8-4,3-5,1-4,10-9,111.1,110.8,0.3,W1,7-3
15,Milwaukee Bucks,10,9,0.526,7,8-3,2-6,3-3,8-8,113.3,112.4,0.9,W6,8-2
16,Atlanta Hawks,11,11,0.5,7.5,6-5,5-6,3-2,8-6,116.5,119,-2.5,W4,6-4
17,Minnesota Timberwolves,10,10,0.5,7.5,7-4,3-6,2-2,7-7,111.1,108.8,2.3,W2,4-6
18,Miami Heat,9,10,0.474,8,4-4,5-6,3-1,7-7,110.1,109.8,0.3,L2,5-5
19,Indiana Pacers,9,12,0.429,9,7-3,2-9,1-2,6-9,114.7,119,-4.3,L2,4-6
20,Sacramento Kings,9,12,0.429,9,4-7,5-5,2-3,6-9,114.2,114,0.2,L2,3-7
21,Chicago Bulls,9,13,0.409,9.5,3-7,6-6,2-3,8-6,118.9,123.2,-4.3,W1,4-6
22,Detroit Pistons,9,13,0.409,9.5,4-6,5-7,1-4,8-11,109.8,111.7,-1.9,L1,4-6
23,Brooklyn Nets,9,13,0.409,9.5,4-5,5-8,0-5,3-12,110.5,114.7,-4.2,L3,4-6
24,Portland Trail Blazers,8,13,0.381,10,5-5,3-8,2-3,7-12,107.2,114.7,-7.5,L1,5-5
25,Charlotte Hornets,6,14,0.3,11.5,5-7,1-7,0-6,5-13,107.5,112.1,-4.6,L5,2-8
26,Toronto Raptors,6,15,0.286,12,5-4,1-11,1-1,3-8,112.8,116.8,-4,W1,4-6
27,Philadelphia 76ers,4,14,0.222,12.5,2-7,2-7,1-2,4-7,105.1,112.1,-7,W1,3-7
28,Utah Jazz,4,16,0.2,13.5,2-9,2-7,0-2,2-15,108.4,117.9,-9.5,L4,2-8
29,New Orleans Pelicans,4,18,0.182,14.5,3-7,1-11,0-2,2-9,103.3,116,-12.7,L9,1-9
30,Washington Wizards,2,16,0.111,14.5,1-8,1-8,2-3,2-11,108.1,123.1,-15,L14,0-10
